ID2,MeanRelativeYield_1999_1999,MeanRelativeYield_1999_2000,MeanRelativeYield_1999_2001,MeanRelativeYield_1999_2002,MeanRelativeYield_1999_2003,MeanRelativeYield_1999_2004,MeanRelativeYield_1999_2005,MeanRelativeYield_1999_2006,MeanRelativeYield_1999_2007,MeanRelativeYield_1999_2008,MeanRelativeYield_1999_2009,MeanRelativeYield_1999_2010,MeanRelativeYield_1999_2011,MeanRelativeYield_1999_2012,MeanRelativeYield_1999_2013,MeanRelativeYield_1999_2014,MeanRelativeYield_1999_2015
1,0.9438449467219262,0.9272332039820407,0.9177693612742539,0.8727381680871896,0.8602233931773092,0.8973384703814132,0.8699921857035532,0.8775902515880677,0.8775902515880677,0.862711254522473,0.8525544919698206,0.8557404625821267,0.8349165622449982,0.8555764464351654,0.8450318569300219,0.7958638186709004,0.8129126136132537
2,0.9310393970253324,0.8117176102639112,0.7404102262801455,0.7416256459507399,0.7421285453813666,0.758013152271129,0.7728731889395818,0.784965020714291,0.7669451633687571,0.7850172665509761,0.7781271649814545,0.7478639973918021,0.7645109375543053,0.785959005919465,0.7720308746606365,0.762354522871631,0.7622871445979886
3,0.9793996868473038,1.0556012518600633,0.9877185501009369,0.9790177707508465,0.984743947664087,0.9796252783330018,0.9836456563794308,0.9791948512927863,0.9697657500144194,0.9878881849139676,0.9878163814117794,0.9605931242985503,0.9440408518320206,0.9498711831250309,0.955603227706819,0.9288563631408212,0.9261749100913845
4,1.0405588072347776,1.0653019126608059,1.0653019126608059,1.0242725679827265,1.0421174694653057,1.0017415379979284,0.9950342092676787,0.9762962886151223,0.9851406756350647,0.9978011690990551,1.00214297806376,0.9933209646368486,0.984984757624466,0.9936262235081526,0.9910983974670498,0.9786499432825433,0.9650772656067688
5,1.2903178084703841,1.2841799299332677,1.2841799299332677,1.163812260981153,1.163812260981153,1.1396926437495045,1.0920222154636237,1.0975935428983579,1.0869010501936869,1.0863777113782447,1.0782134776032457,1.0469885607180018,1.0719671681012168,1.064370381843718,1.0586847606048175,1.0511460378528683,1.0515448015252435
6,1.0196817177889508,1.0074533642804655,1.0074533642804655,1.0311844531991976,1.0060977307623422,0.993183165816357,0.9646382603915024,0.9646382603915024,0.9524018943422453,0.9778647050797535,0.9934769109935462,0.9888831409325908,0.9955451027325455,0.9846770188839002,0.9587103625514806,0.9497331404775944,0.9449184125536672
7,1.1237924285226975,1.1156446414047607,1.1103276307736107,1.1211921548484225,1.098761321287676,1.06986510985141,1.0219804953200868,0.9963882770681669,0.9987460261073369,0.9779280520605239,0.9522866511013338,0.979840464922309,0.983155191290564,0.9729258795973956,0.9741946279280786,0.9608707407696075,0.9611254757886681
8,0.6791461471970431,0.7039706169017778,0.7968603276255347,0.80139413642008,0.8257053312344544,0.8538857521321015,0.8645599966541628,0.8635619080775574,0.8846512338960804,0.9008241344192301,0.8966004137944974,0.8980578249015424,0.9060564502922163,0.9147726151728215,0.9147726151728215,0.9049778274472682,0.8994488056199681
9,0.8950082063169646,0.960827183981904,0.9640849276022818,0.9905901131542736,1.022328147522263,1.0303327972612344,0.9977367598079713,0.9793188825967585,0.9663783582021596,0.9912792941879334,0.9954388171220757,0.9683186129951514,0.9649557181020728,0.9830826341650001,0.996928158027471,0.9945076194810294,1.0126813412256157
10,0.8791528061055366,0.9355723636687742,0.9437521366794951,0.9643048445491516,0.8991744184777778,0.8772526596254373,0.8595279783896844,0.8534294396326954,0.8407040168123372,0.8456119309485839,0.8496221472966166,0.8481070905288277,0.8626680368529039,0.8695303157770385,0.8600997468402333,0.8507494200245446,0.8238868325313154
